# Generated from Yale Bright Star Catalog / NASA HEASARC BSC5. Columns: hr,ra_hours,dec_deg,visual_magnitude
3461,8.744750000,18.154166667,3.94
4399,11.398750000,10.529166667,3.94
8028,20.952888889,41.167222222,3.94
440,1.520861111,-49.072777778,3.95
854,2.904305556,52.762500000,3.95
2429,6.611388889,-19.255833333,3.95
3024,7.697000000,-72.606111111,3.95
5055,13.399000000,54.921666667,3.95
5883,15.849305556,-33.627222222,3.95
8667,22.775527778,23.565555556,3.95
1393,4.400611111,-34.016944444,3.96
2120,5.985777778,-42.815277778,3.96
2538,6.830694444,-32.508611111,3.96
2996,7.730138889,-28.954722222,3.96
4638,12.194194444,-52.368611111,3.96
5993,16.113444444,-20.669166667,3.96
7590,20.009861111,-72.910555556,3.96
2012,5.858166667,39.148611111,3.97
3438,8.668388889,-35.308333333,3.97
3579,9.010666667,41.782777778,3.97
3663,9.187944444,-62.317222222,3.97
6714,18.010750000,2.931666667,3.97
7348,19.398111111,-40.616111111,3.97
8556,22.487833333,-43.495555556,3.97
8892,23.382833333,-20.100555556,3.97
580,2.057250000,72.421388889,3.98
2227,6.247583333,-6.274722222,3.98
2803,7.280500000,-67.957222222,3.98
7751,20.257861111,47.714444444,3.98
8848,23.290500000,-58.235833333,3.99
585,2.000083333,-21.077777778,4.00
868,2.898027778,-49.890277778,4.00
3615,9.040777778,-66.396111111,4.00
4102,10.406583333,-74.031666667,4.00
5471,14.699333333,-37.793611111,4.00
664,2.288583333,33.847222222,4.01
3518,8.842194444,-27.710000000,4.01
5062,13.420416667,54.988055556,4.01
5986,16.031472222,58.565277778,4.01
6027,16.199916667,-19.460555556,4.01
6982,18.717250000,-71.428055556,4.01
7337,19.377305556,-44.458888889,4.01
7834,20.489916667,30.368611111,4.01
8679,22.826527778,-13.592500000,4.01
9072,23.988527778,6.863333333,4.01
1520,4.758361111,-3.254722222,4.02
3475,8.778277778,28.760000000,4.02
4623,12.140222222,-24.728888889,4.02
6072,16.330666667,-50.155555556,4.02
7176,18.993722222,15.068333333,4.02
7193,19.028000000,-5.738888889,4.02
8252,21.566361111,45.591944444,4.02
8597,22.589277778,-0.117500000,4.02
1603,5.056972222,60.442222222,4.03
4517,11.764333333,6.529444444,4.03
4898,12.909888889,-57.177777778,4.03
6752,18.090916667,2.499444444,4.03
7852,20.553555556,11.303333333,4.03
1228,3.982750000,35.791111111,4.04
1273,4.144361111,47.712500000,4.04
1298,4.197750000,-6.837500000,4.04
4679,12.307250000,-64.003055556,4.04
7157,18.922250000,43.946111111,4.04
937,3.151111111,49.613333333,4.05
4386,11.352277778,6.029444444,4.05
5367,14.342611111,-37.885277778,4.05
5404,14.419944444,51.850833333,4.05
5453,14.631444444,-49.425833333,4.05
5485,14.727611111,-35.173611111,4.05
5626,15.147388889,-45.279722222,4.05
215,0.788972222,24.267222222,4.06
2905,7.598694444,26.895833333,4.06
6295,16.993083333,-53.160555556,4.06
496,1.727666667,50.688611111,4.07
779,2.658055556,0.328611111,4.07
1580,4.939527778,13.514444444,4.07
2574,6.903166667,-12.038611111,4.07
3318,8.308777778,-76.919722222,4.07
3477,8.740000000,-42.649166667,4.07
5200,13.824611111,15.797777778,4.07
5670,15.291888889,-58.801111111,4.07
8075,21.099111111,-17.232777778,4.07
3825,9.574083333,-59.229444444,4.08
4287,10.996250000,-18.298888889,4.08
4405,11.414694444,-17.683888889,4.08
5338,14.266916667,-6.000555556,4.08
8173,21.368111111,19.804444444,4.08
8316,21.725111111,58.780000000,4.08
458,1.613277778,41.405555556,4.09
705,2.362472222,-68.659444444,4.09
919,3.039861111,-23.624444444,4.09
1907,5.615083333,9.290555556,4.09
5879,15.812333333,18.141666667,4.09
794,2.677777778,-39.855555556,4.11
806,2.659833333,-68.266944444,4.11
1066,3.514555556,12.936666667,4.11
3055,7.820638889,-46.373333333,4.11
4174,10.591138889,-78.607777778,4.11
4522,11.775222222,-61.178333333,4.11
4671,12.292805556,-67.960833333,4.11
5771,15.612000000,-66.316944444,4.11
7254,19.157861111,-37.904444444,4.11
7259,19.167138889,-39.340833333,4.11
7980,20.863694444,-26.919166667,4.11
8560,22.495972222,-43.749444444,4.11
799,2.736666667,49.228333333,4.12
2124,6.039722222,9.647500000,4.12
2657,7.062638889,-15.633333333,4.12
3903,9.857972222,-14.846666667,4.12
4608,12.086805556,8.733055556,4.12
8747,23.014666667,-52.754166667,4.12
6905,18.480527778,-49.070833333,4.13
7581,19.921027778,-41.868333333,4.13
8315,21.744083333,25.645000000,4.13
8498,22.266166667,37.748888889,4.13
8969,23.665833333,5.626388889,4.13
1303,4.248305556,48.409444444,4.14
1784,5.399111111,-7.808055556,4.14
3426,8.627416667,-42.989166667,4.14
5778,15.548833333,31.359166667,4.14
7936,20.768250000,-25.270833333,4.14
8976,23.673472222,44.333888889,4.14
2343,6.482722222,20.212222222,4.15
2714,7.197750000,-0.492777778,4.15
4616,12.114694444,-64.613611111,4.15
5908,15.897083333,-16.729444444,4.15
5947,15.959805556,26.877777778,4.15
8630,22.767583333,-81.381666667,4.15
130,0.550000000,62.931666667,4.16
2134,6.068666667,23.263333333,4.16
3410,8.627611111,5.703611111,4.16
6166,16.606250000,-35.255555556,4.16
8499,22.280555556,-7.783333333,4.16
1195,3.824250000,-36.200277778,4.17
6486,17.439500000,-24.175277778,4.17
8628,22.677611111,-27.043611111,4.17
1156,3.772111111,23.948333333,4.18
2852,7.485194444,31.784444444,4.18
5351,14.273055556,46.088333333,4.18
5192,13.824083333,-34.450833333,4.19
5315,14.214944444,-10.273611111,4.19
7061,18.761027778,20.546388889,4.19
8494,22.250555556,57.043611111,4.19
8665,22.778222222,12.172777778,4.19
1839,5.513083333,5.948055556,4.20
3102,7.947638889,-22.880000000,4.20
6168,16.568388889,42.436944444,4.20
1035,3.484472222,59.940277778,4.21
1949,5.679333333,-1.942777778,4.21
4100,10.464722222,36.707222222,4.21
8720,22.932472222,-32.539722222,4.21
8841,23.264861111,-9.087777778,4.21
1387,4.422805556,22.293888889,4.22
6920,18.345972222,71.337777778,4.22
7063,18.786250000,-4.747777778,4.22
7074,18.870277778,-62.187500000,4.22
7850,20.493027778,62.994166667,4.22
7942,20.761027778,30.719722222,4.22
8181,21.440722222,-65.366111111,4.22
8834,23.238722222,-6.048888889,4.22
77,0.334527778,-64.874722222,4.23
840,2.843083333,38.318611111,4.23
1087,3.608166667,48.192777778,4.23
1173,3.780805556,-23.249722222,4.23
5168,13.761444444,-33.043888889,4.23
5987,16.109861111,-36.802222222,4.23
6143,16.523027778,-34.704444444,4.23
6322,16.766138889,82.037222222,4.23
7564,19.842750000,32.914166667,4.23
8143,21.290277778,39.394722222,4.23
8335,21.779888889,49.309444444,4.23
3090,7.888388889,-48.103055556,4.24
6163,16.717944444,-77.517500000,4.24
7747,20.294138889,-12.508333333,4.24
285,1.145750000,86.256944444,4.25
335,1.158388889,47.241944444,4.25
721,2.449750000,-47.703888889,4.25
811,2.735388889,-13.858611111,4.25
1338,4.267111111,-51.486666667,4.25
1454,4.611500000,41.264722222,4.25
1458,4.594250000,10.160833333,4.25
3275,8.380583333,43.188055556,4.25
3572,8.974777778,11.857777778,4.25
4104,10.452527778,-31.067777778,4.25
5430,14.458750000,75.696111111,4.25
510,1.756555556,9.157777778,4.26
2091,5.998916667,45.936944444,4.26
4674,12.305750000,-79.312222222,4.26
4785,12.562361111,41.357500000,4.26
4983,13.197888889,27.878055556,4.26
5264,14.027444444,1.544444444,4.26
6023,16.146166667,44.935000000,4.26
6581,17.690250000,-12.875277778,4.26
813,2.749027778,10.114166667,4.27
1008,3.332138889,-43.069722222,4.27
1088,3.563138889,-21.632777778,4.27
1473,4.635972222,12.510833333,4.27
1679,5.152444444,-8.754166667,4.27
3206,8.158138889,-47.345833333,4.27
4889,12.890611111,-40.178888889,4.27
4942,13.115166667,-49.906111111,4.27
5683,15.308888889,-47.875000000,4.27
7948,20.777638889,16.124166667,4.27
8418,22.107277778,-13.869722222,4.27
294,1.049055556,7.890000000,4.28
718,2.469305556,8.460000000,4.28
1101,3.614555556,0.401666667,4.28
1392,4.438472222,22.813611111,4.28
1497,4.704083333,22.956944444,4.28
2973,7.721861111,28.883611111,4.28
4180,10.655111111,-55.603333333,4.28
4552,11.881833333,-33.908055556,4.28
6147,16.518972222,-16.612777778,4.28
8167,21.370777778,-16.834444444,4.28
8787,23.114666667,-43.520555556,4.28
8916,23.466138889,6.378888889,4.28
1261,4.109722222,50.351388889,4.29
1320,4.258916667,8.892222222,4.29
1389,4.424833333,17.928055556,4.29
1542,4.900833333,66.342777778,4.29
1756,5.326250000,-13.176666667,4.29
3751,9.618111111,81.326388889,4.29
6492,17.455916667,-29.866944444,4.29
6546,17.609111111,-38.635277778,4.29
7343,19.387000000,-44.799722222,4.29
